listing_id,product_family_key,brand,device_type,price_usd,condition_grade,condition_tier,gpu_brand,processor_brand,processor_family,processor_generation,processor_speed_ghz,os,storage_type,hdd_capacity_gb,ssd_capacity_gb,total_storage_gb,storage_tier,ram_gb,ram_tier,screen_size_inch,screen_tier,display_width_px,display_height_px,color,feature_count,has_touchscreen,has_backlit_keyboard,has_bluetooth,has_wifi
2300,Dell_i5_16GB_1TB_14-16in,Dell,Notebook/Laptop,150.0,Unknown,Unknown,Intel,Intel,i5,6.0,2.4,Windows,SSD,128.0,512.0,640.0,1TB,16.0,16GB,14.0,14-16in,1920.0,1080.0,Black,15,True,True,True,True
2301,Dell_i5_8GB_128GB_12-14in,Dell,Notebook/Laptop,85.0,Used,Used,Other,Intel,i5,5.0,2.3,Windows,SSD,,128.0,128.0,128GB,8.0,8GB,12.5,12-14in,1366.0,768.0,Black,3,False,True,True,False
2302,HP_i7_16GB_512GB_14-16in,HP,Notebook/Laptop,699.5,Refurbished - Very Good,Refurbished,Intel,Intel,i7,8.0,4.1,Windows,SSD,,512.0,512.0,512GB,16.0,16GB,15.6,14-16in,3840.0,2160.0,Blue,6,True,True,True,False
2303,Dell_i5_8GB_512GB_14-16in,Dell,Notebook/Laptop,87.0,Used,Used,Intel,Intel,i5,6.0,2.4,Windows,SSD,,512.0,512.0,512GB,8.0,8GB,14.0,14-16in,1366.0,768.0,Other,2,False,True,False,True
2304,Lenovo_ryzen5_8GB_512GB_14-16in,Lenovo,Notebook/Laptop,600.0,Unknown,Unknown,Nvidia,AMD,ryzen 5,,3.3,Windows,SSD,256.0,256.0,512.0,512GB,8.0,8GB,15.6,14-16in,1920.0,1080.0,Gray,8,False,True,True,True
2305,Lenovo_i5_8GB_512GB_14-16in,Lenovo,Notebook/Laptop,84.94,Unknown,Unknown,Other,Intel,i5,4.0,2.6,Windows,HDD/SSD,500.0,,500.0,512GB,8.0,8GB,14.0,14-16in,,,Black,1,False,False,False,False
2306,Other/Unbranded_Unknown_16GB_2TB_14-16in,Other/Unbranded,Notebook/Laptop,250.0,New,New,Other,Unknown,Unknown,,,Unknown,SSD,512.0,512.0,1024.0,2TB,16.0,16GB,15.6,14-16in,,,Other,0,False,False,False,False
2307,Asus_celeron_4GB_16GB_14-16in,Asus,Other,50.0,Unknown,Unknown,Intel,Intel,celeron,,,Windows,Unknown,4.0,,4.0,16GB,4.0,4GB,14.0,14-16in,,,Other,0,False,False,False,False
2308,HP_ryzen7_8GB_2TB_14-16in,HP,Notebook/Laptop,454.2,Open Box,Like-New,Amd,AMD,ryzen 7,,4.3,Windows,SSD,512.0,512.0,1024.0,2TB,8.0,8GB,15.6,14-16in,1920.0,1080.0,Blue,8,False,False,True,True
2309,Dell_i7_16GB_2TB_16in+,Dell,Notebook/Laptop,489.0,Refurbished - Very Good,Refurbished,Nvidia,Intel,i7,8.0,1.8,Windows,HDD/SSD,2000.0,,2000.0,2TB,16.0,16GB,17.3,16in+,1920.0,1080.0,Silver,7,True,True,True,True
2310,Dell_i5_Unk_128GB_14-16in,Dell,Notebook/Laptop,291.0,Used,Used,Nvidia,Intel,i5,4.0,2.6,Windows,Unknown,,120.0,120.0,128GB,,Unk,14.0,14-16in,1280.0,720.0,Other,3,False,False,False,True
2311,Dell_i5_Unk_512GB_14-16in,Dell,Notebook/Laptop,370.8,Used,Used,Intel,Intel,i5,3.0,3.1,Windows,Unknown,,480.0,480.0,512GB,,Unk,14.0,14-16in,1280.0,720.0,Other,2,False,False,False,True
2312,Other/Unbranded_Other/Unspecified_Unk_Unk_14-16in,Other/Unbranded,Notebook/Laptop,19.95,Unknown,Unknown,Other,Intel,Other/Unspecified,,,Windows,Unknown,,,,Unk,,Unk,15.6,14-16in,,,Black,0,False,False,False,False
2313,HP_atom_2GB_1TB_Sub-12in,HP,Notebook/Laptop,27.98,Used,Used,Other,Intel,atom,,1.66,Unknown,HDD/SSD,1000.0,,1000.0,1TB,1.0,2GB,10.1,Sub-12in,,,Black,0,False,False,False,False
2314,Lenovo_i5_4GB_512GB_14-16in,Lenovo,Notebook/Laptop,225.0,Used,Used,Other,Intel,i5,,1.7,Windows,SSD,256.0,256.0,512.0,512GB,4.0,4GB,15.0,14-16in,,,Black,4,False,False,False,False
2315,Dell_i7_16GB_512GB_14-16in,Dell,Notebook/Laptop,679.0,Refurbished - Excellent,Refurbished,Other,Intel,i7,,,Unknown,Unknown,,512.0,512.0,512GB,16.0,16GB,15.6,14-16in,,,Other,0,False,False,False,False
2316,Lenovo_i5_8GB_2TB_14-16in,Lenovo,Notebook/Laptop,1012.5,Unknown,Unknown,Nvidia,Intel,i5,10.0,2.5,Windows,SSD,512.0,512.0,1024.0,2TB,8.0,8GB,15.6,14-16in,1920.0,1080.0,Other,5,False,True,True,True
2317,Lenovo_i5_8GB_512GB_12-14in,Lenovo,Notebook/Laptop,150.0,Used,Used,Intel,Intel,i5,,1.2,Unknown,SSD,256.0,256.0,512.0,512GB,8.0,8GB,12.0,12-14in,2160.0,1440.0,Black,9,True,False,True,True
